component,modelID,RSL,RSLsd,yearBP,siteID,model_ranking
1,1,-112709.86540653,4509.34768379995,16518,2,2
1,1,-112772.112777809,4613.49869067614,16418,2,2
1,1,-112793.571311614,4690.35987387525,16318,2,2
1,1,-112765.05128887,4737.68384496298,16218,2,2
1,1,-112677.39432273,4754.01413485444,16118,2,2
1,1,-112521.563398798,4738.69866408578,16018,2,2
1,1,-112288.734655282,4691.89987428809,15918,2,2
1,1,-111970.391459117,4614.60310540465,15818,2,2
1,1,-111558.421343814,4508.62376248243,15718,2,2
1,1,-111045.216386329,4376.61270672171,15618,2,2
1,1,-110423.777614092,4222.05766086934,15518,2,2
1,1,-109687.824049244,4049.27571685216,15418,2,2
1,1,-108831.907015031,3863.38747956718,15318,2,2
1,1,-107851.530349743,3670.25611336214,15218,2,2
1,1,-106743.277195972,3476.36414610007,15118,2,2
1,1,-105504.944058036,3288.58882753235,15018,2,2
1,1,-104135.682847628,3113.82940754963,14918,2,2
1,1,-102636.151667607,2958.45125171402,14818,2,2
1,1,-101008.675116421,2827.5627558853,14718,2,2
1,1,-99257.4149306216,2724.24092320679,14618,2,2
1,1,-97388.5526357801,2648.93567777862,14518,2,2
1,1,-95410.6151426611,2599.33672078136,14418,2,2
1,1,-93335.5640446683,2570.9262161457,14318,2,2
1,1,-91180.2213607649,2558.01404337965,14218,2,2
1,1,-88966.7727808151,2554.82978214806,14118,2,2
1,1,-86722.2657249123,2556.39940341415,14018,2,2
1,1,-84477.3628804837,2559.07116277665,13918,2,2
1,1,-82264.4486984923,2560.68556131529,13818,2,2
1,1,-80115.3173349872,2560.45233647864,13718,2,2
1,1,-78058.8142613601,2558.60239119942,13618,2,2
1,1,-76118.4836848518,2555.91215812301,13518,2,2
1,1,-74310.6889773058,2553.25332147395,13418,2,2
1,1,-72644.3891688986,2551.37269338416,13318,2,2
1,1,-71122.0941561069,2550.84447382023,13218,2,2
1,1,-69740.9406249132,2552.01493866615,13118,2,2
1,1,-68493.7269024197,2554.91311741262,13018,2,2
1,1,-67369.8072823649,2559.22088326819,12918,2,2
1,1,-66355.6747472947,2564.37899043344,12818,2,2
1,1,-65435.2835071795,2569.83335659987,12718,2,2
1,1,-64590.3429210223,2575.39932025253,12618,2,2
1,1,-63800.8878373345,2581.73487762556,12518,2,2
1,1,-63046.0297228191,2590.7575790535,12418,2,2
1,1,-62304.71647863,2605.82106899428,12318,2,2
1,1,-61556.4913938353,2631.52273397195,12218,2,2
1,1,-60782.2552878903,2673.06716717113,12118,2,2
1,1,-59965.0214473028,2735.25526562168,12018,2,2
1,1,-59090.5782080879,2821.43095910417,11918,2,2
1,1,-58147.9291967219,2932.69185985681,11818,2,2
1,1,-57129.2533252807,3067.65513042382,11718,2,2
1,1,-56029.6234947843,3222.77291894696,11618,2,2
1,1,-54846.7254460873,3392.94944250732,11518,2,2
1,1,-53580.5911057414,3572.23165892537,11418,2,2
1,1,-52233.3450576616,3754.41297078053,11318,2,2
1,1,-50808.9628181159,3933.48252296838,11218,2,2
1,1,-49313.0396340936,4103.92129949808,11118,2,2
1,1,-47752.5685645919,4260.8773727806,11018,2,2
1,1,-46135.7266390715,4400.25732672739,10918,2,2
1,1,-44471.6679200493,4518.76374475639,10818,2,2
1,1,-42770.3223267961,4613.89916270451,10718,2,2
1,1,-41042.1991060525,4683.94871871528,10618,2,2
1,1,-39298.193867675,4727.94808331028,10518,2,2
1,1,-37549.3981408551,4745.63953523514,10418,2,2
1,1,-35806.9104605187,4737.41675806812,10318,2,2
1,1,-34081.648079819,4704.25783775112,10218,2,2
1,1,-32384.1585524455,4647.64529091342,10118,2,2
1,1,-30724.4306949526,4569.47217385286,10018,2,2
1,1,-29111.7049256731,4471.93422384284,9918,2,2
1,1,-27554.2838740945,4357.40953611233,9818,2,2
1,1,-26059.3458105288,4228.33020128988,9718,2,2
1,1,-24632.7584914882,4087.05044404128,9618,2,2
1,1,-23278.8708640728,3935.70965408894,9518,2,2
1,1,-22000.6033751946,3776.24520216242,9418,2,2
1,1,-20799.7010446433,3610.48067810483,9318,2,2
1,1,-19676.9867769256,3440.19479105539,9218,2,2
1,1,-18632.6701185759,3267.1744972681,9118,2,2
1,1,-17666.7329163291,3093.23803613295,9018,2,2
1,1,-16779.4169988707,2920.21457597598,8918,2,2
1,1,-15971.8730951566,2749.84319586218,8818,2,2
1,1,-15246.8589697089,2583.64679919055,8718,2,2
1,1,-14609.3632598389,2422.75091059938,8618,2,2
1,1,-14066.8169671167,2267.68567111587,8518,2,2
1,1,-13628.0669888016,2118.1049366856,8418,2,2
1,1,-13299.083892934,1972.59071282493,8318,2,2
