"","Depth","lwr_2sd","median","upr_2sd","model","removalID","subset"
"374",284,4205.95,4401,4684.075,"Set1_thinned_3",3,"1"
"375",288,4222.925,4438,4712.025,"Set1_thinned_3",3,"1"
"376",292,4249.8,4475,4725,"Set1_thinned_3",3,"1"
"377",296,4263.95,4511,4740.1,"Set1_thinned_3",3,"1"
"378",300,4281,4546.5,4756.025,"Set1_thinned_3",3,"1"
"379",304,4306.95,4583,4774.1,"Set1_thinned_3",3,"1"
"380",308,4327.975,4618.5,4790,"Set1_thinned_3",3,"1"
"381",312,4349.925,4654,4799.05,"Set1_thinned_3",3,"1"
"382",316,4371,4691,4812,"Set1_thinned_3",3,"1"
"383",320,4389.975,4726,4826,"Set1_thinned_3",3,"1"
"384",324,4438.95,4762,4854.025,"Set1_thinned_3",3,"1"
"385",328,4499.95,4797,4893,"Set1_thinned_3",3,"1"
"386",332,4659.825,4832,4930.025,"Set1_thinned_3",3,"1"
"387",336,4847,4876,5081.05,"Set1_thinned_3",3,"1"
"388",340,4866,4918,5216.4,"Set1_thinned_3",3,"1"
"389",344,4880.975,4960,5318.2,"Set1_thinned_3",3,"1"
"390",348,4900.95,5001.5,5367.1,"Set1_thinned_3",3,"1"
"391",352,4916.975,5043,5404.025,"Set1_thinned_3",3,"1"
"392",356,4937.9,5085,5423.05,"Set1_thinned_3",3,"1"
"393",360,4954,5127,5454.025,"Set1_thinned_3",3,"1"
"394",364,4970.975,5170,5474.05,"Set1_thinned_3",3,"1"
"395",368,4989.95,5211.5,5490,"Set1_thinned_3",3,"1"
"396",372,5010.925,5254,5505.225,"Set1_thinned_3",3,"1"
"397",376,5029.95,5296,5525.05,"Set1_thinned_3",3,"1"
"398",380,5052.875,5338,5537.15,"Set1_thinned_3",3,"1"
"399",384,5075,5381,5555,"Set1_thinned_3",3,"1"
"400",388,5102.775,5423,5572.1,"Set1_thinned_3",3,"1"
"401",392,5142,5465,5588,"Set1_thinned_3",3,"1"
"402",396,5191.75,5507,5601,"Set1_thinned_3",3,"1"
"403",400,5265.925,5549,5627.025,"Set1_thinned_3",3,"1"
