"","RSL","RSLer_up_2sd","Age","Age_up_er_2sd","RSLError","AgeError","AgeCE","model","removalID"
"157",-6.23594837040068,0.222492653804942,6343,245,0.111246326902471,122.5,-4393,"Set1_thinned_2","_2"
"158",-6.27575606664398,0.222701306054383,6361.5875,258.587500000001,0.111350653027191,129.29375,-4411.5875,"Set1_thinned_2","_2"
"159",-6.3155510170361,0.22290988547086,6385.5125,274.5625,0.11145494273543,137.28125,-4435.5125,"Set1_thinned_2","_2"
"160",-6.3553513911855,0.223120669652803,6404.9875,287.0125,0.111560334826401,143.50625,-4454.9875,"Set1_thinned_2","_2"
"161",-6.39515154259873,0.223332498467599,6428.075,299.099999999999,0.1116662492338,149.55,-4478.075,"Set1_thinned_2","_2"
"162",-6.43496063624105,0.223544576206256,6462,320,0.111772288103128,160,-4512,"Set1_thinned_2","_2"
"163",-6.47476673718774,0.223758687502386,6489.0125,306.0625,0.111879343751193,153.03125,-4539.0125,"Set1_thinned_2","_2"
"164",-6.5145774777489,0.223972824762002,6509.5125,295.5125,0.111986412381001,147.75625,-4559.5125,"Set1_thinned_2","_2"
"165",-6.55438858765931,0.22418812424723,6530.0125,288.0125,0.112094062123615,144.00625,-4580.0125,"Set1_thinned_2","_2"
"166",-6.59420359970661,0.224404098588153,6550.4875,283.5125,0.112202049294077,141.75625,-4600.4875,"Set1_thinned_2","_2"
"167",-6.63402901774434,0.224621184342458,6572.0125,281.0125,0.112310592171229,140.50625,-4622.0125,"Set1_thinned_2","_2"
"168",-6.67385145998597,0.224838797046342,6593.5,284.55,0.112419398523171,142.275,-4643.5,"Set1_thinned_2","_2"
"169",-6.7136773410352,0.225058049088347,6614.5125,286.537499999999,0.112529024544174,143.26875,-4664.5125,"Set1_thinned_2","_2"
"170",-6.75351098617734,0.225278411705195,6629.4875,285.5125,0.112639205852597,142.75625,-4679.4875,"Set1_thinned_2","_2"
"171",-6.79334653095601,0.225499673699229,6637.025,287.025000000001,0.112749836849614,143.5125,-4687.025,"Set1_thinned_2","_2"
"172",-6.83317787044903,0.225720677326405,6644.525,286.55,0.112860338663203,143.275,-4694.525,"Set1_thinned_2","_2"
"173",-6.87301294025009,0.225942747785588,6652.475,285.549999999999,0.112971373892794,142.775,-4702.475,"Set1_thinned_2","_2"
"174",-6.91285429957806,0.226166709338614,6658.525,284.525000000001,0.113083354669307,142.2625,-4708.525,"Set1_thinned_2","_2"
"175",-6.95269554313017,0.226390757100483,6666.95,280.075,0.113195378550241,140.0375,-4716.95,"Set1_thinned_2","_2"
"176",-6.99253872060556,0.226615755757166,6674.9875,277.0625,0.113307877878583,138.53125,-4724.9875,"Set1_thinned_2","_2"
"177",-7.03238447242879,0.226841324750281,6683,276.025,0.11342066237514,138.0125,-4733,"Set1_thinned_2","_2"
"178",-7.07223439086253,0.22706802359166,6689.5,273.5,0.11353401179583,136.75,-4739.5,"Set1_thinned_2","_2"
"179",-7.11208952531869,0.227296245938807,6694.5,272.5,0.113648122969403,136.25,-4744.5,"Set1_thinned_2","_2"
"180",-7.15195070824446,0.227524567752432,6698,272,0.113762283876216,136,-4748,"Set1_thinned_2","_2"
"181",-7.19181802813987,0.227753326896022,6702.975,270.025,0.113876663448011,135.0125,-4752.975,"Set1_thinned_2","_2"
"182",-7.23167881580451,0.227983808408762,6708.0375,269.037499999999,0.113991904204381,134.51875,-4758.0375,"Set1_thinned_2","_2"
"183",-7.27154538807979,0.228215267393075,6714.0125,269.0125,0.114107633696537,134.50625,-4764.0125,"Set1_thinned_2","_2"
"184",-7.31141541759009,0.228446503584414,6721.4875,270.5125,0.114223251792207,135.25625,-4771.4875,"Set1_thinned_2","_2"
"185",-7.35129206868911,0.228678068910389,6726.5,271.5,0.114339034455194,135.75,-4776.5,"Set1_thinned_2","_2"
"186",-7.39115973915695,0.228911954325437,6734.5125,269.5125,0.114455977162718,134.75625,-4784.5125,"Set1_thinned_2","_2"
"187",-7.43103727329125,0.22914560197556,6740.4875,270.5125,0.11457280098778,135.25625,-4790.4875,"Set1_thinned_2","_2"
"188",-7.47091801517359,0.229380813580617,6748,271.025,0.114690406790308,135.5125,-4798,"Set1_thinned_2","_2"
"189",-7.51079808796416,0.229617583634938,6758.5,271.5,0.114808791817469,135.75,-4808.5,"Set1_thinned_2","_2"
"190",-7.5506877088283,0.229854377619924,6766.5,272.525,0.114927188809962,136.2625,-4816.5,"Set1_thinned_2","_2"
"191",-7.59057539595358,0.230092051644409,6774.0375,272.037499999999,0.115046025822205,136.01875,-4824.0375,"Set1_thinned_2","_2"
"192",-7.63047771125514,0.23032965344888,6783.5,273.525,0.11516482672444,136.7625,-4833.5,"Set1_thinned_2","_2"
"193",-7.67037708856891,0.230569974144321,6793.525,272.525000000001,0.115284987072161,136.2625,-4843.525,"Set1_thinned_2","_2"
"194",-7.71028066716008,0.230809685709185,6810.5125,262.5125,0.115404842854592,131.25625,-4860.5125,"Set1_thinned_2","_2"
"195",-7.75017625391139,0.231050296664575,6827,254.025,0.115525148332288,127.0125,-4877,"Set1_thinned_2","_2"
"196",-7.79008434229029,0.231292310782488,6840.5375,245.537499999999,0.115646155391244,122.76875,-4890.5375,"Set1_thinned_2","_2"
"197",-7.83000079962479,0.231533940649586,6854.9875,237.0125,0.115766970324793,118.50625,-4904.9875,"Set1_thinned_2","_2"
"198",-7.86990835332706,0.231776939534398,6866.5125,228.537499999999,0.115888469767199,114.26875,-4916.5125,"Set1_thinned_2","_2"
"199",-7.90982399261517,0.232021453424831,6877.5125,222.5125,0.116010726712416,111.25625,-4927.5125,"Set1_thinned_2","_2"
"200",-7.94974521440438,0.232266130216031,6886.475,217.549999999999,0.116133065108015,108.775,-4936.475,"Set1_thinned_2","_2"
"201",-7.98966635039895,0.232511949687547,6893.9875,215.0125,0.116255974843773,107.50625,-4943.9875,"Set1_thinned_2","_2"
"202",-8.02958785478241,0.232757418153203,6903.5,212.525,0.116378709076602,106.2625,-4953.5,"Set1_thinned_2","_2"
"203",-8.06951187385216,0.233003965431546,6912,211,0.116501982715773,105.5,-4962,"Set1_thinned_2","_2"
"204",-8.10944076452811,0.233251714582694,6920.9875,205.0625,0.116625857291347,102.53125,-4970.9875,"Set1_thinned_2","_2"
"205",-8.14938260054414,0.23349939530007,6930.9875,201.0625,0.116749697650035,100.53125,-4980.9875,"Set1_thinned_2","_2"
"206",-8.18932022990903,0.233747647519733,6939.5625,195.5875,0.116873823759867,97.7937499999998,-4989.5625,"Set1_thinned_2","_2"
"207",-8.22926665799669,0.23399701819128,6952.975,193.025,0.11699850909564,96.5124999999998,-5002.975,"Set1_thinned_2","_2"
"208",-8.26920489354395,0.234246918445977,6968.9875,189.0625,0.117123459222988,94.53125,-5018.9875,"Set1_thinned_2","_2"
"209",-8.30915826877026,0.234497513319156,6984.45,182.575,0.117248756659578,91.2874999999999,-5034.45,"Set1_thinned_2","_2"
"210",-8.34911081345552,0.234749640817386,7003.8875,172.162499999999,0.117374820408693,86.0812499999997,-5053.8875,"Set1_thinned_2","_2"
"211",-8.3890711590052,0.235001122716288,7028.075,155.224999999999,0.117500561358144,77.6124999999997,-5078.075,"Set1_thinned_2","_2"
"212",-8.4290358260779,0.235254333417522,7049.2,141.25,0.117627166708761,70.625,-5099.2,"Set1_thinned_2","_2"
