"","SiteName","data_type_id","Age","true_RSL","RSLer_up_2sd","Age_up_er_2sd","RSL_err","Age_err","AgeCE","CV_fold","test_set","NI_var_grid_term","pred_RSL","upr","lwr","y_post_pred","upr_PI","lwr_PI","CI","CV_fold_number","obs_in_PI","nseg","RMSE"
"14",",
 ","ProxyRecord",6757.9875,-6.564574788,0.342153890162499,35.0124999999998,0.171076945081249,17.5062499999999,-4807.9875,1,"test_set",0.00131321262588635,-6.84226818467395,-6.88912506029506,-6.79502219767049,-6.84539373838302,-7.21254080960449,-6.46483490314713,"95%","1",TRUE,5,0.195877395517457
"15",",
 ","ProxyRecord",7009,-7.482762399,0.34577545544023,63.0249999999996,0.172887727720115,31.5124999999998,-5059,1,"test_set",0.00151155215071252,-7.54684217465747,-7.59020335554827,-7.50145984927727,-7.54396008089132,-7.9144228264328,-7.18276806221525,"95%","1",TRUE,5,0.195877395517457
"16",",
 ","ProxyRecord",7056.5,-7.602653996,0.346276162220291,50.5,0.173138081110145,25.25,-5106.5,1,"test_set",0.00155278113982416,-7.69189123846864,-7.7351120632086,-7.64614724261884,-7.69921281290287,-8.05980139698806,-7.32385947746349,"95%","1",TRUE,5,0.195877395517457
"17",",
 ","ProxyRecord",7077,-7.922489889,0.34764481511105,49,0.173822407555525,24.5,-5127,1,"test_set",0.00157093811252729,-7.75572766178704,-7.79923968163175,-7.70978381577311,-7.75384128029505,-8.13844833939578,-7.38076943236709,"95%","1",TRUE,5,0.195877395517457
"18",",
 ","ProxyRecord",7079,-8.002475328,0.347993704941651,50,0.173996852470826,25,-5129,1,"test_set",0.00157272125576036,-7.76199611042008,-7.80549670989775,-7.71615509955729,-7.75386882959528,-8.13052091043192,-7.36960431894614,"95%","1",TRUE,5,0.195877395517457
"19",",
 ","ProxyRecord",7126.5125,-8.402640694,0.349777152545626,66.5374999999995,0.174888576272813,33.2687499999997,-5176.5125,1,"test_set",0.00161569532841632,-7.91305955760743,-7.95717704649772,-7.86566241423764,-7.91378348999524,-8.2905770511872,-7.53305044127196,"95%","1",FALSE,5,0.195877395517457
"20",",
 ","ProxyRecord",7586.9875,-9.605206156,0.34658136976361,69.0375000000004,0.173290684881805,34.5187500000002,-5636.9875,1,"test_set",0.00209316607842069,-9.61331746666364,-9.65711465885792,-9.56659560392071,-9.60500036697027,-9.9695320509724,-9.23161101006763,"95%","1",TRUE,5,0.195877395517457
"21",",
 ","ProxyRecord",7704.9875,-10.32901506,0.350365765765407,55.0375000000004,0.175182882882703,27.5187500000002,-5754.9875,1,"test_set",0.00223331642392743,-10.1260274845137,-10.1693546520647,-10.0786320355993,-10.1258795392358,-10.4954463552815,-9.7426430248321,"95%","1",TRUE,5,0.195877395517457
"22",",
 ","ProxyRecord",7710.9875,-10.36928899,0.350581118951387,56.0124999999998,0.175290559475694,28.0062499999999,-5760.9875,1,"test_set",0.00224063666984797,-10.1530190427365,-10.1968822922929,-10.1053986041456,-10.153511716409,-10.5342421147833,-9.77731916063013,"95%","1",TRUE,5,0.195877395517457
"23",",
 ","ProxyRecord",7737.4875,-10.44985038,0.351013938377691,56.5124999999998,0.175506969188846,28.2562499999999,-5787.4875,1,"test_set",0.00227319227974476,-10.2733230559225,-10.3190736204422,-10.2247257670596,-10.2763048541649,-10.669315470759,-9.88169053362602,"95%","1",TRUE,5,0.195877395517457
